CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,CVSS v3.0 Temporal Score,Metasploit,Core Impact,CANVAS
"CVE-2017-15906","5.0","Medium","172.18.0.151","tcp","22","OpenSSH < 7.6","The SSH server running on the remote host is affected by a 
file creation restriction bypass vulnerability.","According to its banner, the version of OpenSSH running on the remote
host is prior to 7.6. It is, therefore, affected by a file creation
restriction bypass vulnerability related to the 'process_open'
function in the file 'sftp-server.c' that allows authenticated users
to create zero-length files regardless of configuration.

Note that Nessus has not tested for these issues but has instead
relied only on the application's self-reported version number.","Upgrade to OpenSSH version 7.6 or later.","http://www.nessus.org/u?09ca048b
http://www.nessus.org/u?96a8ea52
http://www.openssh.com/txt/release-7.6","
  Version source    : SSH-2.0-OpenSSH_7.5 PKIX[10.1]
  Installed version : 7.5
  Fixed version     : 7.6
","4.6","","",""
"CVE-2018-15473","5.0","Medium","172.18.0.151","tcp","22","OpenSSH < 7.8","The SSH server running on the remote host is affected by a information disclosure vulnerability.","According to its banner, the version of OpenSSH running on the remote host is prior to 7.8. It is, therefore, affected
by an information disclosure vulnerability in the auth2-gss.c, auth2-hostbased.c, and auth2-pubkey due to not delaying
for an invalid authenticating user. An unauthenticated, remote attacker can exploit this, via a malformed packet, to
potentially enumerate users.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported
version number.","Upgrade to OpenSSH version 7.8 or later.","https://www.openwall.com/lists/oss-security/2018/08/15/5
https://www.openssh.com/txt/release-7.8","
  Version source    : SSH-2.0-OpenSSH_7.5 PKIX[10.1]
  Installed version : 7.5
  Fixed version     : 7.8
","5.1","","","true"
"CVE-2018-20685","5.8","Medium","172.18.0.151","tcp","22","OpenSSH < 8.0","The SSH server running on the remote host is affected by multiple vulnerabilities.","According to its banner, the version of OpenSSH running on the remote host is prior to 8.0. It is, therefore, affected
by the following vulnerabilities:

  - A permission bypass vulnerability due to improper directory name validation. An unauthenticated, remote
    attacker can exploit this, with a specially crafted scp server, to change the permission of a directory
    on the client. (CVE-2018-20685)

  - Multiple arbitrary file downloads due to improper validation of object name and stderr output. An unauthenticated
    remote attacker can exploit this, with a specially crafted scp server, to include additional hidden
    files in the transfer. (CVE-2019-6109, CVE-2019-6110)

  - An arbitrary file write vulnerability due to improper object name validation. An unauthenticated, remote
    attacker can exploit this, with a specially crafted scp server, to overwrite arbitrary files in the
    client directory. (CVE-2019-6111)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported
version number.","Upgrade to OpenSSH version 8.0 or later.","https://sintonen.fi/advisories/scp-client-multiple-vulnerabilities.txt
https://www.openssh.com/txt/release-8.0","
  Version source    : SSH-2.0-OpenSSH_7.5 PKIX[10.1]
  Installed version : 7.5
  Fixed version     : 8.0
","6.1","","",""
"CVE-2019-6109","5.8","Medium","172.18.0.151","tcp","22","OpenSSH < 8.0","The SSH server running on the remote host is affected by multiple vulnerabilities.","According to its banner, the version of OpenSSH running on the remote host is prior to 8.0. It is, therefore, affected
by the following vulnerabilities:

  - A permission bypass vulnerability due to improper directory name validation. An unauthenticated, remote
    attacker can exploit this, with a specially crafted scp server, to change the permission of a directory
    on the client. (CVE-2018-20685)

  - Multiple arbitrary file downloads due to improper validation of object name and stderr output. An unauthenticated
    remote attacker can exploit this, with a specially crafted scp server, to include additional hidden
    files in the transfer. (CVE-2019-6109, CVE-2019-6110)

  - An arbitrary file write vulnerability due to improper object name validation. An unauthenticated, remote
    attacker can exploit this, with a specially crafted scp server, to overwrite arbitrary files in the
    client directory. (CVE-2019-6111)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported
version number.","Upgrade to OpenSSH version 8.0 or later.","https://sintonen.fi/advisories/scp-client-multiple-vulnerabilities.txt
https://www.openssh.com/txt/release-8.0","
  Version source    : SSH-2.0-OpenSSH_7.5 PKIX[10.1]
  Installed version : 7.5
  Fixed version     : 8.0
","6.1","","",""
"CVE-2019-6110","5.8","Medium","172.18.0.151","tcp","22","OpenSSH < 8.0","The SSH server running on the remote host is affected by multiple vulnerabilities.","According to its banner, the version of OpenSSH running on the remote host is prior to 8.0. It is, therefore, affected
by the following vulnerabilities:

  - A permission bypass vulnerability due to improper directory name validation. An unauthenticated, remote
    attacker can exploit this, with a specially crafted scp server, to change the permission of a directory
    on the client. (CVE-2018-20685)

  - Multiple arbitrary file downloads due to improper validation of object name and stderr output. An unauthenticated
    remote attacker can exploit this, with a specially crafted scp server, to include additional hidden
    files in the transfer. (CVE-2019-6109, CVE-2019-6110)

  - An arbitrary file write vulnerability due to improper object name validation. An unauthenticated, remote
    attacker can exploit this, with a specially crafted scp server, to overwrite arbitrary files in the
    client directory. (CVE-2019-6111)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported
version number.","Upgrade to OpenSSH version 8.0 or later.","https://sintonen.fi/advisories/scp-client-multiple-vulnerabilities.txt
https://www.openssh.com/txt/release-8.0","
  Version source    : SSH-2.0-OpenSSH_7.5 PKIX[10.1]
  Installed version : 7.5
  Fixed version     : 8.0
","6.1","","",""
"CVE-2019-6111","5.8","Medium","172.18.0.151","tcp","22","OpenSSH < 8.0","The SSH server running on the remote host is affected by multiple vulnerabilities.","According to its banner, the version of OpenSSH running on the remote host is prior to 8.0. It is, therefore, affected
by the following vulnerabilities:

  - A permission bypass vulnerability due to improper directory name validation. An unauthenticated, remote
    attacker can exploit this, with a specially crafted scp server, to change the permission of a directory
    on the client. (CVE-2018-20685)

  - Multiple arbitrary file downloads due to improper validation of object name and stderr output. An unauthenticated
    remote attacker can exploit this, with a specially crafted scp server, to include additional hidden
    files in the transfer. (CVE-2019-6109, CVE-2019-6110)

  - An arbitrary file write vulnerability due to improper object name validation. An unauthenticated, remote
    attacker can exploit this, with a specially crafted scp server, to overwrite arbitrary files in the
    client directory. (CVE-2019-6111)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported
version number.","Upgrade to OpenSSH version 8.0 or later.","https://sintonen.fi/advisories/scp-client-multiple-vulnerabilities.txt
https://www.openssh.com/txt/release-8.0","
  Version source    : SSH-2.0-OpenSSH_7.5 PKIX[10.1]
  Installed version : 7.5
  Fixed version     : 8.0
","6.1","","",""
"CVE-2023-48795","6.4","Medium","172.18.0.151","tcp","22","OpenSSH < 9.6 Multiple Vulnerabilities","The SSH server running on the remote host is affected by multiple vulnerabilities.","The version of OpenSSH installed on the remote host is prior to 9.6. It is, therefore, affected by multiple
vulnerabilities as referenced in the release-9.6 advisory.

  - ssh(1), sshd(8): implement protocol extensions to thwart the so-called Terrapin attack discovered by
    Fabian Bumer, Marcus Brinkmann and Jrg Schwenk. This attack allows a MITM to effect a limited break of
    the integrity of the early encrypted SSH transport protocol by sending extra messages prior to the
    commencement of encryption, and deleting an equal number of consecutive messages immediately after
    encryption starts. A peer SSH client/server would not be able to detect that messages were deleted. While
    cryptographically novel, the security impact of this attack is fortunately very limited as it only allows
    deletion of consecutive messages, and deleting most messages at this stage of the protocol prevents user
    user authentication from proceeding and results in a stuck connection. The most serious identified impact
    is that it lets a MITM to delete the SSH2_MSG_EXT_INFO message sent before authentication starts, allowing
    the attacker to disable a subset of the keystroke timing obfuscation features introduced in OpenSSH 9.5.
    There is no other discernable impact to session secrecy or session integrity. OpenSSH 9.6 addresses this
    protocol weakness through a new strict KEX protocol extension that will be automatically enabled when
    both the client and server support it. This extension makes two changes to the SSH transport protocol to
    improve the integrity of the initial key exchange. Firstly, it requires endpoints to terminate the
    connection if any unnecessary or unexpected message is received during key exchange (including messages
    that were previously legal but not strictly required like SSH2_MSG_DEBUG). This removes most malleability
    from the early protocol. Secondly, it resets the Message Authentication Code counter at the conclusion of
    each key exchange, preventing previously inserted messages from being able to make persistent changes to
    the sequence number across completion of a key exchange. Either of these changes should be sufficient to
    thwart the Terrapin Attack. More details of these changes are in the PROTOCOL file in the OpenSSH source
    distribition. (CVE-2023-48795)

  - ssh-agent(1): when adding PKCS#11-hosted private keys while specifying destination constraints, if the
    PKCS#11 token returned multiple keys then only the first key had the constraints applied. Use of regular
    private keys, FIDO tokens and unconstrained keys are unaffected. (CVE-2023-51384)

  - ssh(1): if an invalid user or hostname that contained shell metacharacters was passed to ssh(1), and a
    ProxyCommand, LocalCommand directive or match exec predicate referenced the user or hostname via %u, %h
    or similar expansion token, then an attacker who could supply arbitrary user/hostnames to ssh(1) could
    potentially perform command injection depending on what quoting was present in the user-supplied
    ssh_config(5) directive. This situation could arise in the case of git submodules, where a repository
    could contain a submodule with shell characters in its user/hostname. Git does not ban shell
    metacharacters in user or host names when checking out repositories from untrusted sources. Although we
    believe it is the user's responsibility to ensure validity of arguments passed to ssh(1), especially
    across a security boundary such as the git example above, OpenSSH 9.6 now bans most shell metacharacters
    from user and hostnames supplied via the command-line. This countermeasure is not guaranteed to be
    effective in all situations, as it is infeasible for ssh(1) to universally filter shell metacharacters
    potentially relevant to user-supplied commands. User/hostnames provided via ssh_config(5) are not subject
    to these restrictions, allowing configurations that use strange names to continue to be used, under the
    assumption that the user knows what they are doing in their own configuration files. (CVE-2023-51385)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version
number.","Upgrade to OpenSSH version 9.6 or later.","https://www.openssh.com/txt/release-9.6","
  Version source    : SSH-2.0-OpenSSH_7.5 PKIX[10.1]
  Installed version : 7.5
  Fixed version     : 9.6p1 / 9.6
","5.9","","",""
"CVE-2023-51384","6.4","Medium","172.18.0.151","tcp","22","OpenSSH < 9.6 Multiple Vulnerabilities","The SSH server running on the remote host is affected by multiple vulnerabilities.","The version of OpenSSH installed on the remote host is prior to 9.6. It is, therefore, affected by multiple
vulnerabilities as referenced in the release-9.6 advisory.

  - ssh(1), sshd(8): implement protocol extensions to thwart the so-called Terrapin attack discovered by
    Fabian Bumer, Marcus Brinkmann and Jrg Schwenk. This attack allows a MITM to effect a limited break of
    the integrity of the early encrypted SSH transport protocol by sending extra messages prior to the
    commencement of encryption, and deleting an equal number of consecutive messages immediately after
    encryption starts. A peer SSH client/server would not be able to detect that messages were deleted. While
    cryptographically novel, the security impact of this attack is fortunately very limited as it only allows
    deletion of consecutive messages, and deleting most messages at this stage of the protocol prevents user
    user authentication from proceeding and results in a stuck connection. The most serious identified impact
    is that it lets a MITM to delete the SSH2_MSG_EXT_INFO message sent before authentication starts, allowing
    the attacker to disable a subset of the keystroke timing obfuscation features introduced in OpenSSH 9.5.
    There is no other discernable impact to session secrecy or session integrity. OpenSSH 9.6 addresses this
    protocol weakness through a new strict KEX protocol extension that will be automatically enabled when
    both the client and server support it. This extension makes two changes to the SSH transport protocol to
    improve the integrity of the initial key exchange. Firstly, it requires endpoints to terminate the
    connection if any unnecessary or unexpected message is received during key exchange (including messages
    that were previously legal but not strictly required like SSH2_MSG_DEBUG). This removes most malleability
    from the early protocol. Secondly, it resets the Message Authentication Code counter at the conclusion of
    each key exchange, preventing previously inserted messages from being able to make persistent changes to
    the sequence number across completion of a key exchange. Either of these changes should be sufficient to
    thwart the Terrapin Attack. More details of these changes are in the PROTOCOL file in the OpenSSH source
    distribition. (CVE-2023-48795)

  - ssh-agent(1): when adding PKCS#11-hosted private keys while specifying destination constraints, if the
    PKCS#11 token returned multiple keys then only the first key had the constraints applied. Use of regular
    private keys, FIDO tokens and unconstrained keys are unaffected. (CVE-2023-51384)

  - ssh(1): if an invalid user or hostname that contained shell metacharacters was passed to ssh(1), and a
    ProxyCommand, LocalCommand directive or match exec predicate referenced the user or hostname via %u, %h
    or similar expansion token, then an attacker who could supply arbitrary user/hostnames to ssh(1) could
    potentially perform command injection depending on what quoting was present in the user-supplied
    ssh_config(5) directive. This situation could arise in the case of git submodules, where a repository
    could contain a submodule with shell characters in its user/hostname. Git does not ban shell
    metacharacters in user or host names when checking out repositories from untrusted sources. Although we
    believe it is the user's responsibility to ensure validity of arguments passed to ssh(1), especially
    across a security boundary such as the git example above, OpenSSH 9.6 now bans most shell metacharacters
    from user and hostnames supplied via the command-line. This countermeasure is not guaranteed to be
    effective in all situations, as it is infeasible for ssh(1) to universally filter shell metacharacters
    potentially relevant to user-supplied commands. User/hostnames provided via ssh_config(5) are not subject
    to these restrictions, allowing configurations that use strange names to continue to be used, under the
    assumption that the user knows what they are doing in their own configuration files. (CVE-2023-51385)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version
number.","Upgrade to OpenSSH version 9.6 or later.","https://www.openssh.com/txt/release-9.6","
  Version source    : SSH-2.0-OpenSSH_7.5 PKIX[10.1]
  Installed version : 7.5
  Fixed version     : 9.6p1 / 9.6
","5.9","","",""
"CVE-2023-51385","6.4","Medium","172.18.0.151","tcp","22","OpenSSH < 9.6 Multiple Vulnerabilities","The SSH server running on the remote host is affected by multiple vulnerabilities.","The version of OpenSSH installed on the remote host is prior to 9.6. It is, therefore, affected by multiple
vulnerabilities as referenced in the release-9.6 advisory.

  - ssh(1), sshd(8): implement protocol extensions to thwart the so-called Terrapin attack discovered by
    Fabian Bumer, Marcus Brinkmann and Jrg Schwenk. This attack allows a MITM to effect a limited break of
    the integrity of the early encrypted SSH transport protocol by sending extra messages prior to the
    commencement of encryption, and deleting an equal number of consecutive messages immediately after
    encryption starts. A peer SSH client/server would not be able to detect that messages were deleted. While
    cryptographically novel, the security impact of this attack is fortunately very limited as it only allows
    deletion of consecutive messages, and deleting most messages at this stage of the protocol prevents user
    user authentication from proceeding and results in a stuck connection. The most serious identified impact
    is that it lets a MITM to delete the SSH2_MSG_EXT_INFO message sent before authentication starts, allowing
    the attacker to disable a subset of the keystroke timing obfuscation features introduced in OpenSSH 9.5.
    There is no other discernable impact to session secrecy or session integrity. OpenSSH 9.6 addresses this
    protocol weakness through a new strict KEX protocol extension that will be automatically enabled when
    both the client and server support it. This extension makes two changes to the SSH transport protocol to
    improve the integrity of the initial key exchange. Firstly, it requires endpoints to terminate the
    connection if any unnecessary or unexpected message is received during key exchange (including messages
    that were previously legal but not strictly required like SSH2_MSG_DEBUG). This removes most malleability
    from the early protocol. Secondly, it resets the Message Authentication Code counter at the conclusion of
    each key exchange, preventing previously inserted messages from being able to make persistent changes to
    the sequence number across completion of a key exchange. Either of these changes should be sufficient to
    thwart the Terrapin Attack. More details of these changes are in the PROTOCOL file in the OpenSSH source
    distribition. (CVE-2023-48795)

  - ssh-agent(1): when adding PKCS#11-hosted private keys while specifying destination constraints, if the
    PKCS#11 token returned multiple keys then only the first key had the constraints applied. Use of regular
    private keys, FIDO tokens and unconstrained keys are unaffected. (CVE-2023-51384)

  - ssh(1): if an invalid user or hostname that contained shell metacharacters was passed to ssh(1), and a
    ProxyCommand, LocalCommand directive or match exec predicate referenced the user or hostname via %u, %h
    or similar expansion token, then an attacker who could supply arbitrary user/hostnames to ssh(1) could
    potentially perform command injection depending on what quoting was present in the user-supplied
    ssh_config(5) directive. This situation could arise in the case of git submodules, where a repository
    could contain a submodule with shell characters in its user/hostname. Git does not ban shell
    metacharacters in user or host names when checking out repositories from untrusted sources. Although we
    believe it is the user's responsibility to ensure validity of arguments passed to ssh(1), especially
    across a security boundary such as the git example above, OpenSSH 9.6 now bans most shell metacharacters
    from user and hostnames supplied via the command-line. This countermeasure is not guaranteed to be
    effective in all situations, as it is infeasible for ssh(1) to universally filter shell metacharacters
    potentially relevant to user-supplied commands. User/hostnames provided via ssh_config(5) are not subject
    to these restrictions, allowing configurations that use strange names to continue to be used, under the
    assumption that the user knows what they are doing in their own configuration files. (CVE-2023-51385)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version
number.","Upgrade to OpenSSH version 9.6 or later.","https://www.openssh.com/txt/release-9.6","
  Version source    : SSH-2.0-OpenSSH_7.5 PKIX[10.1]
  Installed version : 7.5
  Fixed version     : 9.6p1 / 9.6
","5.9","","",""
"CVE-2017-15906","5.0","Medium","172.18.0.152","tcp","22","OpenSSH < 7.6","The SSH server running on the remote host is affected by a 
file creation restriction bypass vulnerability.","According to its banner, the version of OpenSSH running on the remote
host is prior to 7.6. It is, therefore, affected by a file creation
restriction bypass vulnerability related to the 'process_open'
function in the file 'sftp-server.c' that allows authenticated users
to create zero-length files regardless of configuration.

Note that Nessus has not tested for these issues but has instead
relied only on the application's self-reported version number.","Upgrade to OpenSSH version 7.6 or later.","http://www.nessus.org/u?09ca048b
http://www.nessus.org/u?96a8ea52
http://www.openssh.com/txt/release-7.6","
  Version source    : SSH-2.0-OpenSSH_7.5 PKIX[10.1]
  Installed version : 7.5
  Fixed version     : 7.6
","4.6","","",""
